sample #,time elapsed,period
147,43848.621814250946,0.000277320566497981
148,44148.96808171272,0.000277273383880793
149,44449.327270030975,0.000276909668060481
150,44749.62878537178,0.000276321528412043
151,45049.91454076767,0.000275751362396418
152,45350.21765112877,0.000275525180755793
153,45650.53302168846,0.000275279331146418
154,45950.83911776543,0.000275282939544856
155,46251.14387845993,0.000275371577240168
156,46551.46526479721,0.000275434829193293
157,46851.79523181915,0.000275585649505793
158,47152.11332631111,0.000275764619232356
159,47452.426672935486,0.000275934643646418
160,47752.73272061348,0.000275955239349543
161,48053.02317070961,0.000276109848724543
162,48353.31889748573,0.000276118222747981
163,48653.61226415634,0.000276242495208918
164,48954.011303663254,0.000276310932708918
165,49254.37450361252,0.000276364604583918
166,49554.73454427719,0.000276466943451106
167,49855.08352351189,0.000276505463958918
168,50155.420422554016,0.000276526381927668
169,50455.790122509,0.000276572417083918
170,50756.13464355469,0.000276683310638606
171,51056.498542547226,0.000276661938568293
172,51356.85203266144,0.000276628847747981
173,51657.20774078369,0.000276638667083918
174,51957.544488191605,0.000276683584076106
175,52257.88133096695,0.000276772861419856
176,52558.243290901184,0.000276771850677668
177,52858.5708963871,0.000276784751068293
178,53158.907559633255,0.000276859052826106
179,53459.265755176544,0.000276756230560481
180,53759.59946727753,0.000276814985443293
181,54059.95074439049,0.000277791425872981
182,54360.28057265282,0.000276536865326106
183,54660.617020606995,0.000276877168060481
184,54960.958777189255,0.000276880839935481
185,55261.291959285736,0.000276815932708918
186,55561.62756228447,0.000276846054779231
187,55861.961532115936,0.000276904555755793
188,56162.28752732277,0.000276841733490168
189,56462.59895658493,0.000276885278412043
190,56762.934629917145,0.000276918212982356
191,57063.25751423836,0.000276976875091731
192,57363.57952332497,0.000276892255951106
193,57663.9180188179,0.000277034550872981
194,57964.245460271835,0.000276902295013606
195,58264.55238866806,0.000277023857513606
196,58564.88547182083,0.000276771518646418
197,58865.21374940872,0.000276968603607356
198,59165.546058893204,0.000277028032318293
199,59465.864496707916,0.000277066386810481
200,59766.171748399734,0.000277055629974543
201,60066.49257707596,0.000277001005951106
202,60367.3182759285,0.000277147470794856
203,60667.63695669174,0.000277033012787043
204,60967.950109004974,0.000276887407318293
205,61268.292083740234,0.000277054467865168
206,61568.61530470848,0.000276984072357356
207,61868.943141937256,0.000277034336029231
208,62169.25990343094,0.000277056142669856
209,62469.585288763046,0.000277098164154231
210,62769.902696847916,0.000277173881927668
211,63070.223066329956,0.000277208862396418
212,63370.549463033676,0.000277157544037043
213,63670.86512303352,0.000277159555755793
214,63971.21900701523,0.000277166313568293
215,64271.54477906227,0.000277140737396418
216,64571.857271671295,0.000277795586029231
217,64872.19817352295,0.000277110112396418
218,65172.51459598541,0.000277177988372981
219,65472.86263537407,0.000277108418060481
220,65773.16702508926,0.000277138920990168
221,66073.47279214859,0.000276937587982356
222,66373.78167653084,0.000276677680755793
223,66674.13853883743,0.000276437143646418
224,66974.4686369896,0.000276270791107356
225,67274.83213543892,0.000276053335052668
226,67575.15974354744,0.000275955151458918
227,67875.49088168144,0.000275911879974543
228,68175.85742735863,0.000275878642669856
229,68476.20763063431,0.000275935390716731
230,68776.5449192524,0.000275970927826106
231,69076.85926294327,0.000276085210052668
232,69377.182762146,0.000276185986419856
233,69677.48851180077,0.000276342773529231
234,69977.80993700027,0.000276349868255793
235,70278.12484526634,0.000276419345794856
236,70578.44256734848,0.000276492744232356
237,70878.78989481926,0.000276044033294856
238,71179.1282119751,0.000276620600677668
239,71479.43807458878,0.000276501709076106
240,71779.72073602676,0.000277661005951106
241,72080.007324934,0.000276053462005793
242,72380.34351921082,0.000276153964935481
243,72680.6761124134,0.000276061840912043
244,72980.99899101257,0.000275897143646418
245,73281.33927559853,0.000276102280365168
246,73581.62041926384,0.000276279765716731
247,73881.93481373787,0.000276245717865168
248,74182.28715991974,0.000276064926849543
249,74482.60406255722,0.000276198432708918
250,74782.91282725334,0.000276138706146418
251,75083.26708865166,0.000275962504974543
252,75383.54926800728,0.000276129980560481
253,75683.82828617096,0.000276188574310481
254,75984.13315963745,0.000276261743255793
255,76284.43756437302,0.000276238794037043
256,76584.74179506302,0.000276254404388606
257,76885.01712870598,0.000276167304779231
258,77185.27230858803,0.000275842080169856
259,77485.53533482552,0.000276048847747981
260,77785.81689882278,0.000276283476654231
261,78086.12480044365,0.000276516128021418
262,78386.47311401367,0.000276402299896418
263,78686.82589221,0.000276720234466731
264,78987.19933533669,0.000276765454193293
265,79287.55616903305,0.000276712031341731
266,79587.91973423958,0.000276864638763606
267,79888.27179765701,0.000276863696380793
268,80188.63497757912,0.000276816767669856
269,80489.01239657402,0.000276787661224543
270,80789.36713123322,0.000276838081146418
271,81089.73899435997,0.000276783549896418
272,81390.11575293541,0.000276766015716731
273,81690.4872739315,0.000276863925872981
274,81990.83589243889,0.000276755000091731
275,82291.20019769669,0.000276767944427668
276,82591.56504869461,0.000276429765716731
277,82891.91702914238,0.000276831430755793
278,83192.26695871353,0.000276774189544856
279,83492.62720990181,0.000276797470794856
280,83792.9995880127,0.000276693286224543
281,84093.37851953506,0.000276705000091731
282,84393.74963331223,0.000276743335052668
283,84694.11419391632,0.000276772934662043
284,84994.47128605843,0.000276851030365168
285,85294.84080862999,0.000276686513763606
286,85595.19469642639,0.000276852456146418
287,85895.49607133865,0.000276583671966731
288,86195.8580930233,0.000276750161224543
